soda_per_week,fast_food,monthly_earnings,homeowner,acc_produce,health_status,acc_produce_ALWAYS,acc_produce_NEVER,acc_produce_SOMETIMES,acc_produce_USUALLY,health_status_recode
2.0,2.0,25000.0,0,4,EXCELLENT,1,0,0,0,1
2.0,5.0,900.0,1,3,GOOD,0,0,0,1,2
0.0,0.0,2200.0,1,4,GOOD,1,0,0,0,2
0.0,3.0,0.0,0,4,GOOD,1,0,0,0,2
0.0,0.0,4000.0,1,4,FAIR,1,0,0,0,2
0.0,0.0,11000.0,1,4,VERY GOOD,1,0,0,0,1
0.0,0.0,12000.0,1,4,FAIR,1,0,0,0,2
1.0,2.0,2700.0,0,3,GOOD,0,0,0,1,2
7.0,2.0,4000.0,1,4,VERY GOOD,1,0,0,0,1
0.0,5.0,600.0,0,4,GOOD,1,0,0,0,2
0.0,0.0,14000.0,0,4,EXCELLENT,1,0,0,0,1
1.0,3.0,2200.0,1,3,FAIR,0,0,0,1,2
0.0,2.0,5000.0,0,4,GOOD,1,0,0,0,2
0.0,0.0,10000.0,1,4,GOOD,1,0,0,0,2
0.0,0.0,12000.0,1,4,VERY GOOD,1,0,0,0,1
0.0,0.0,5600.0,0,4,GOOD,1,0,0,0,2
0.0,1.0,15000.0,0,4,GOOD,1,0,0,0,2
0.0,1.0,15000.0,0,4,GOOD,1,0,0,0,2
2.0,2.0,0.0,0,4,VERY GOOD,1,0,0,0,1
0.0,0.0,25000.0,1,4,VERY GOOD,1,0,0,0,1
3.0,0.0,8000.0,1,4,VERY GOOD,1,0,0,0,1
0.0,1.0,400.0,1,3,GOOD,0,0,0,1,2
0.0,0.0,4800.0,0,4,GOOD,1,0,0,0,2
1.0,1.0,1400.0,0,3,VERY GOOD,0,0,0,1,1
0.0,0.0,400.0,0,4,VERY GOOD,1,0,0,0,1
0.0,0.0,7000.0,1,4,EXCELLENT,1,0,0,0,1
2.0,0.0,2500.0,0,4,FAIR,1,0,0,0,2
0.0,1.0,20000.0,1,4,VERY GOOD,1,0,0,0,1
0.0,8.0,12000.0,1,4,GOOD,1,0,0,0,2
7.0,4.0,2000.0,0,3,VERY GOOD,0,0,0,1,1
0.0,0.0,12000.0,1,4,EXCELLENT,1,0,0,0,1
0.0,2.0,5000.0,1,4,GOOD,1,0,0,0,2
2.0,1.0,3000.0,0,3,GOOD,0,0,0,1,2
0.0,1.0,3000.0,0,4,GOOD,1,0,0,0,2
0.0,1.0,7000.0,1,4,GOOD,1,0,0,0,2
4.0,2.0,2400.0,0,4,FAIR,1,0,0,0,2
0.0,1.0,0.0,0,4,VERY GOOD,1,0,0,0,1
2.0,2.0,2000.0,0,4,GOOD,1,0,0,0,2
0.0,1.0,5250.0,0,4,EXCELLENT,1,0,0,0,1
1.0,2.0,0.0,0,3,GOOD,0,0,0,1,2
0.0,3.0,3000.0,0,4,VERY GOOD,1,0,0,0,1
0.0,0.0,4000.0,0,1,VERY GOOD,0,1,0,0,1
1.0,0.0,0.0,0,4,EXCELLENT,1,0,0,0,1
0.0,2.0,500.0,1,3,GOOD,0,0,0,1,2
0.0,1.0,3500.0,0,4,EXCELLENT,1,0,0,0,1
2.0,30.0,2500.0,0,4,POOR,1,0,0,0,3
14.0,7.0,1500.0,1,3,GOOD,0,0,0,1,2
0.0,1.0,3000.0,1,4,FAIR,1,0,0,0,2
7.0,0.0,2000.0,0,4,VERY GOOD,1,0,0,0,1
0.0,1.0,12000.0,0,4,GOOD,1,0,0,0,2
2.0,4.0,400.0,0,4,POOR,1,0,0,0,3
0.0,0.0,5000.0,1,4,VERY GOOD,1,0,0,0,1
1.0,10.0,1500.0,0,4,EXCELLENT,1,0,0,0,1
0.0,0.0,10000.0,1,2,GOOD,0,0,1,0,2
0.0,1.0,5834.0,1,4,GOOD,1,0,0,0,2
0.0,1.0,1100.0,0,4,EXCELLENT,1,0,0,0,1
2.0,2.0,1000.0,0,4,VERY GOOD,1,0,0,0,1
7.0,0.0,1000.0,0,4,VERY GOOD,1,0,0,0,1
0.0,2.0,1500.0,1,3,POOR,0,0,0,1,3
1.0,0.0,15000.0,1,4,VERY GOOD,1,0,0,0,1
0.0,6.0,4000.0,1,3,GOOD,0,0,0,1,2
0.0,3.0,1600.0,0,3,GOOD,0,0,0,1,2
3.0,3.0,800.0,1,4,VERY GOOD,1,0,0,0,1
0.0,7.0,700.0,1,4,VERY GOOD,1,0,0,0,1
0.0,3.0,300.0,0,4,EXCELLENT,1,0,0,0,1
0.0,2.0,5500.0,1,4,VERY GOOD,1,0,0,0,1
1.0,2.0,2000.0,0,4,GOOD,1,0,0,0,2
2.0,4.0,5500.0,0,4,GOOD,1,0,0,0,2
0.0,1.0,2600.0,0,2,VERY GOOD,0,0,1,0,1
0.0,2.0,0.0,1,4,EXCELLENT,1,0,0,0,1
0.0,1.0,2700.0,1,3,GOOD,0,0,0,1,2
1.0,1.0,780.0,0,4,POOR,1,0,0,0,3
1.0,2.0,3000.0,1,4,VERY GOOD,1,0,0,0,1
0.0,1.0,4500.0,0,4,VERY GOOD,1,0,0,0,1
7.0,3.0,28000.0,1,4,FAIR,1,0,0,0,2
3.0,3.0,1500.0,1,4,GOOD,1,0,0,0,2
1.0,3.0,450.0,1,3,GOOD,0,0,0,1,2
3.0,2.0,2200.0,0,3,EXCELLENT,0,0,0,1,1
0.0,3.0,8000.0,1,4,GOOD,1,0,0,0,2
0.0,0.0,18000.0,0,4,VERY GOOD,1,0,0,0,1
14.0,2.0,4000.0,1,2,VERY GOOD,0,0,1,0,1
0.0,1.0,3000.0,1,4,GOOD,1,0,0,0,2
0.0,1.0,2200.0,0,4,VERY GOOD,1,0,0,0,1
0.0,0.0,2400.0,1,4,VERY GOOD,1,0,0,0,1
0.0,0.0,1800.0,0,4,GOOD,1,0,0,0,2
0.0,3.0,0.0,1,4,GOOD,1,0,0,0,2
0.0,0.0,4000.0,0,4,EXCELLENT,1,0,0,0,1
0.0,0.0,8500.0,1,2,VERY GOOD,0,0,1,0,1
48.0,2.0,0.0,0,4,POOR,1,0,0,0,3
14.0,2.0,2000.0,0,4,GOOD,1,0,0,0,2
0.0,1.0,3500.0,0,4,FAIR,1,0,0,0,2
1.0,3.0,4000.0,0,4,VERY GOOD,1,0,0,0,1
0.0,0.0,30000.0,1,4,GOOD,1,0,0,0,2
14.0,1.0,3000.0,0,3,VERY GOOD,0,0,0,1,1
0.0,1.0,5000.0,0,3,VERY GOOD,0,0,0,1,1
14.0,2.0,2500.0,1,4,VERY GOOD,1,0,0,0,1
42.0,1.0,475.0,1,4,GOOD,1,0,0,0,2
0.0,0.0,2400.0,1,4,GOOD,1,0,0,0,2
0.0,1.0,2700.0,0,4,VERY GOOD,1,0,0,0,1
0.0,1.0,500.0,1,2,EXCELLENT,0,0,1,0,1
4.0,3.0,1500.0,0,4,VERY GOOD,1,0,0,0,1
0.0,0.0,2500.0,0,4,GOOD,1,0,0,0,2
0.0,0.0,2000.0,0,2,VERY GOOD,0,0,1,0,1
0.0,1.0,1000.0,1,4,FAIR,1,0,0,0,2
7.0,5.0,5000.0,0,4,GOOD,1,0,0,0,2
7.0,7.0,1200.0,0,4,VERY GOOD,1,0,0,0,1
0.0,1.0,4500.0,0,4,EXCELLENT,1,0,0,0,1
3.0,2.0,1000.0,0,4,VERY GOOD,1,0,0,0,1
0.0,0.0,15000.0,1,4,GOOD,1,0,0,0,2
14.0,0.0,8000.0,0,4,GOOD,1,0,0,0,2
0.0,1.0,5500.0,0,1,VERY GOOD,0,1,0,0,1
42.0,0.0,800.0,1,4,GOOD,1,0,0,0,2
0.0,0.0,2200.0,1,2,GOOD,0,0,1,0,2
2.0,5.0,3500.0,1,2,EXCELLENT,0,0,1,0,1
0.0,1.0,4400.0,0,4,GOOD,1,0,0,0,2
1.0,0.0,800.0,0,4,VERY GOOD,1,0,0,0,1
1.0,4.0,1500.0,0,3,VERY GOOD,0,0,0,1,1
5.0,3.0,1000.0,1,4,GOOD,1,0,0,0,2
0.0,1.0,600.0,1,4,VERY GOOD,1,0,0,0,1
0.0,0.0,4000.0,1,4,VERY GOOD,1,0,0,0,1
0.0,2.0,600.0,0,4,GOOD,1,0,0,0,2
0.0,1.0,3000.0,1,4,EXCELLENT,1,0,0,0,1
2.0,0.0,14000.0,1,4,GOOD,1,0,0,0,2
0.0,0.0,1500.0,0,4,VERY GOOD,1,0,0,0,1
0.0,1.0,12000.0,1,4,EXCELLENT,1,0,0,0,1
1.0,4.0,1000.0,0,3,VERY GOOD,0,0,0,1,1
7.0,1.0,1400.0,1,4,FAIR,1,0,0,0,2
0.0,0.0,0.0,0,4,VERY GOOD,1,0,0,0,1
7.0,4.0,1200.0,1,4,VERY GOOD,1,0,0,0,1
0.0,0.0,5000.0,1,4,FAIR,1,0,0,0,2
2.0,0.0,2400.0,0,2,GOOD,0,0,1,0,2
0.0,2.0,5000.0,1,4,VERY GOOD,1,0,0,0,1
0.0,0.0,425.0,0,4,EXCELLENT,1,0,0,0,1
0.0,0.0,325.0,1,4,VERY GOOD,1,0,0,0,1
0.0,0.0,4800.0,1,4,GOOD,1,0,0,0,2
0.0,0.0,0.0,0,4,EXCELLENT,1,0,0,0,1
21.0,3.0,2000.0,0,4,FAIR,1,0,0,0,2
28.0,0.0,0.0,0,4,FAIR,1,0,0,0,2
0.0,1.0,2000.0,1,4,EXCELLENT,1,0,0,0,1
0.0,3.0,1000.0,0,4,VERY GOOD,1,0,0,0,1
7.0,2.0,1000.0,0,4,VERY GOOD,1,0,0,0,1
0.0,3.0,20000.0,1,3,GOOD,0,0,0,1,2
1.0,0.0,2800.0,0,4,GOOD,1,0,0,0,2
0.0,1.0,1224.0,0,1,FAIR,0,1,0,0,2
0.0,1.0,4000.0,0,4,VERY GOOD,1,0,0,0,1
14.0,2.0,2100.0,0,3,GOOD,0,0,0,1,2
0.0,1.0,500.0,0,3,VERY GOOD,0,0,0,1,1
0.0,0.0,900.0,0,3,GOOD,0,0,0,1,2
0.0,1.0,5000.0,1,4,GOOD,1,0,0,0,2
0.0,1.0,2600.0,1,4,GOOD,1,0,0,0,2
0.0,0.0,4500.0,0,4,EXCELLENT,1,0,0,0,1
0.0,0.0,2000.0,0,4,EXCELLENT,1,0,0,0,1
0.0,0.0,6400.0,1,4,EXCELLENT,1,0,0,0,1
0.0,1.0,2000.0,0,4,GOOD,1,0,0,0,2
0.0,2.0,5000.0,1,4,VERY GOOD,1,0,0,0,1
14.0,1.0,2000.0,0,2,GOOD,0,0,1,0,2
0.0,1.0,4000.0,1,4,EXCELLENT,1,0,0,0,1
0.0,0.0,1200.0,0,4,FAIR,1,0,0,0,2
0.0,7.0,600.0,0,4,GOOD,1,0,0,0,2
0.0,0.0,6000.0,0,4,GOOD,1,0,0,0,2
0.0,0.0,1600.0,0,4,VERY GOOD,1,0,0,0,1
0.0,0.0,1800.0,1,4,FAIR,1,0,0,0,2
3.0,3.0,6000.0,0,4,GOOD,1,0,0,0,2
0.0,1.0,0.0,0,4,GOOD,1,0,0,0,2
0.0,0.0,4000.0,0,4,GOOD,1,0,0,0,2
1.0,3.0,750.0,1,4,FAIR,1,0,0,0,2
1.0,2.0,5000.0,1,4,VERY GOOD,1,0,0,0,1
2.0,2.0,1000.0,1,4,VERY GOOD,1,0,0,0,1
0.0,5.0,1000.0,0,4,VERY GOOD,1,0,0,0,1
0.0,3.0,12000.0,1,3,GOOD,0,0,0,1,2
4.0,2.0,1400.0,0,4,VERY GOOD,1,0,0,0,1
0.0,1.0,2000.0,1,4,GOOD,1,0,0,0,2
0.0,3.0,2000.0,1,1,VERY GOOD,0,1,0,0,1
0.0,2.0,0.0,1,3,EXCELLENT,0,0,0,1,1
2.0,2.0,2500.0,1,3,GOOD,0,0,0,1,2
0.0,3.0,6000.0,0,4,FAIR,1,0,0,0,2
0.0,2.0,300.0,1,3,VERY GOOD,0,0,0,1,1
7.0,4.0,3000.0,1,2,FAIR,0,0,1,0,2
0.0,3.0,6000.0,1,4,VERY GOOD,1,0,0,0,1
0.0,2.0,5000.0,1,2,VERY GOOD,0,0,1,0,1
1.0,2.0,1000.0,0,3,EXCELLENT,0,0,0,1,1
3.0,2.0,1800.0,0,3,GOOD,0,0,0,1,2
0.0,1.0,0.0,0,4,VERY GOOD,1,0,0,0,1
0.0,0.0,0.0,0,4,POOR,1,0,0,0,3
2.0,3.0,1500.0,0,1,GOOD,0,1,0,0,2
0.0,2.0,0.0,0,4,GOOD,1,0,0,0,2
0.0,1.0,2000.0,1,2,VERY GOOD,0,0,1,0,1
0.0,0.0,6500.0,0,4,GOOD,1,0,0,0,2
0.0,0.0,5000.0,1,4,GOOD,1,0,0,0,2
5.0,2.0,3000.0,0,4,GOOD,1,0,0,0,2
0.0,0.0,10000.0,1,4,GOOD,1,0,0,0,2
0.0,1.0,1800.0,1,4,EXCELLENT,1,0,0,0,1
2.0,4.0,100.0,0,4,FAIR,1,0,0,0,2
9.0,4.0,1300.0,0,4,GOOD,1,0,0,0,2
1.0,1.0,0.0,0,4,GOOD,1,0,0,0,2
0.0,2.0,8500.0,0,4,VERY GOOD,1,0,0,0,1
0.0,3.0,1200.0,1,4,GOOD,1,0,0,0,2
3.0,1.0,900.0,0,4,GOOD,1,0,0,0,2
21.0,15.0,500.0,0,2,GOOD,0,0,1,0,2
7.0,2.0,4900.0,0,4,VERY GOOD,1,0,0,0,1
0.0,1.0,1300.0,0,1,POOR,0,1,0,0,3
0.0,0.0,400.0,1,4,GOOD,1,0,0,0,2
1.0,1.0,9200.0,0,4,VERY GOOD,1,0,0,0,1
14.0,14.0,1200.0,0,4,FAIR,1,0,0,0,2
0.0,0.0,1000.0,0,2,FAIR,0,0,1,0,2
1.0,0.0,6000.0,1,4,EXCELLENT,1,0,0,0,1
7.0,2.0,1900.0,1,4,FAIR,1,0,0,0,2
1.0,4.0,9000.0,0,4,VERY GOOD,1,0,0,0,1
6.0,0.0,300.0,1,4,GOOD,1,0,0,0,2
3.0,4.0,2300.0,0,4,GOOD,1,0,0,0,2
0.0,0.0,10000.0,1,4,VERY GOOD,1,0,0,0,1
1.0,3.0,1200.0,0,4,GOOD,1,0,0,0,2
0.0,3.0,2000.0,0,3,GOOD,0,0,0,1,2
0.0,0.0,8000.0,1,4,EXCELLENT,1,0,0,0,1
2.0,0.0,2000.0,0,4,FAIR,1,0,0,0,2
7.0,3.0,800.0,0,3,FAIR,0,0,0,1,2
0.0,2.0,7000.0,0,4,VERY GOOD,1,0,0,0,1
2.0,5.0,600.0,1,2,VERY GOOD,0,0,1,0,1
0.0,7.0,10000.0,1,4,VERY GOOD,1,0,0,0,1
0.0,0.0,0.0,0,2,FAIR,0,0,1,0,2
0.0,0.0,13500.0,1,4,VERY GOOD,1,0,0,0,1
0.0,0.0,9000.0,1,4,EXCELLENT,1,0,0,0,1
7.0,5.0,1600.0,0,4,FAIR,1,0,0,0,2
0.0,1.0,1400.0,0,4,VERY GOOD,1,0,0,0,1
0.0,0.0,1600.0,0,4,GOOD,1,0,0,0,2
1.0,0.0,300.0,0,4,VERY GOOD,1,0,0,0,1
0.0,0.0,13000.0,1,4,EXCELLENT,1,0,0,0,1
28.0,3.0,500.0,0,4,FAIR,1,0,0,0,2
3.0,4.0,0.0,0,3,VERY GOOD,0,0,0,1,1
0.0,6.0,0.0,0,4,VERY GOOD,1,0,0,0,1
0.0,0.0,1400.0,0,4,VERY GOOD,1,0,0,0,1
0.0,1.0,5800.0,0,4,GOOD,1,0,0,0,2
0.0,0.0,25000.0,0,4,EXCELLENT,1,0,0,0,1
1.0,1.0,0.0,1,4,FAIR,1,0,0,0,2
1.0,2.0,5000.0,1,4,GOOD,1,0,0,0,2
0.0,5.0,30000.0,0,1,EXCELLENT,0,1,0,0,1
5.0,4.0,3000.0,0,3,GOOD,0,0,0,1,2
0.0,0.0,3222.0,0,4,GOOD,1,0,0,0,2
6.0,5.0,30000.0,1,3,GOOD,0,0,0,1,2
4.0,2.0,4000.0,0,3,GOOD,0,0,0,1,2
7.0,7.0,2500.0,0,4,VERY GOOD,1,0,0,0,1
0.0,2.0,1100.0,0,4,GOOD,1,0,0,0,2
0.0,4.0,6718.0,1,4,GOOD,1,0,0,0,2
1.0,1.0,900.0,0,4,VERY GOOD,1,0,0,0,1
6.0,7.0,1200.0,0,2,VERY GOOD,0,0,1,0,1
2.0,1.0,1800.0,1,4,FAIR,1,0,0,0,2
0.0,9.0,5500.0,0,4,GOOD,1,0,0,0,2
0.0,1.0,1100.0,0,4,GOOD,1,0,0,0,2
3.0,4.0,1200.0,0,4,GOOD,1,0,0,0,2
2.0,1.0,1000.0,0,3,VERY GOOD,0,0,0,1,1
0.0,2.0,3500.0,0,4,VERY GOOD,1,0,0,0,1
0.0,1.0,600.0,0,4,EXCELLENT,1,0,0,0,1
0.0,1.0,2400.0,0,4,VERY GOOD,1,0,0,0,1
0.0,1.0,1800.0,0,3,GOOD,0,0,0,1,2
0.0,0.0,200.0,1,4,POOR,1,0,0,0,3
0.0,2.0,12000.0,1,4,VERY GOOD,1,0,0,0,1
0.0,0.0,6500.0,1,4,EXCELLENT,1,0,0,0,1
0.0,0.0,5600.0,1,4,EXCELLENT,1,0,0,0,1
7.0,2.0,2000.0,1,3,GOOD,0,0,0,1,2
7.0,3.0,2500.0,0,4,VERY GOOD,1,0,0,0,1
5.0,1.0,3500.0,1,4,GOOD,1,0,0,0,2
0.0,1.0,250.0,1,4,VERY GOOD,1,0,0,0,1
7.0,2.0,900.0,0,4,GOOD,1,0,0,0,2
1.0,10.0,1200.0,0,2,GOOD,0,0,1,0,2
